,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,target,x1_type2,x1_type3,x1_type4
0,1486,200,0,0,13,78,888,0.0,16,1,6,8504,5,0,154.0,75,0,False,True,False
1,1350,375,0,0,0,31,2,0.0,0,0,0,19,0,0,44.0,652,0,True,False,False
2,2415,200,0,0,1,2,4,0.0,0,0,0,17,0,0,72.6,412,1,True,False,False
3,7389,200,0,0,0,1,37,0.0,1,0,0,44,0,0,133.3,7,0,False,True,False
4,3954,200,0,0,0,0,71,0.0,0,0,0,217,0,0,133.1,128,0,False,True,False
5,2061,550,0,0,3,179,550,0.0,42,11,4,329,0,0,69.7,1015,0,False,True,False
6,1416,616,0,0,0,3,35,0.0,0,0,0,26,0,0,148.5,24,0,False,True,False
7,1170,370,0,0,3,6,81,0.0,2,1,0,7735,0,0,142.9,16,0,False,True,False
8,4880,200,0,0,4,125,166,0.0,5,0,4,83,0,0,140.7,89,0,False,True,False
9,6748,200,0,0,0,2,12,0.0,0,3,0,5,0,0,98.9,1020,0,False,False,False
10,1959,200,0,0,3,38,41,0.0,1,56,0,25,0,0,97.6,1171,0,False,False,False
11,1172,375,0,0,0,0,31,0.0,0,0,0,139,0,0,173.8,4,0,False,True,False
12,3076,200,0,0,0,5,30,0.0,0,0,0,23,0,0,133.0,28,0,False,True,False
13,3475,200,0,0,0,15,23,0.0,0,0,0,23,0,0,114.0,1087,0,False,True,False
14,4969,200,0,0,0,6,115,0.0,1,0,0,56,0,0,152.3,12,0,False,True,False
15,1830,550,0,0,0,9,2,0.0,0,0,0,5,0,0,54.4,441,0,True,False,False
16,5694,200,0,0,1,181,40,0.0,0,0,0,66,0,0,44.4,522,0,True,False,False
17,3793,1485,0,0,1,8,150,0.0,1,0,0,64,0,0,133.8,11,0,False,True,False
18,1000,200,0,0,1,4,70,0.0,1,0,0,56,0,0,170.2,125,1,False,True,False
19,1539,200,0,0,0,367,24,0.0,0,4,0,8,0,0,71.6,1186,0,False,False,True
20,2080,200,0,0,0,2,6,0.0,0,197,0,10,0,0,111.5,1003,0,False,False,False
21,2896,200,0,0,2,10,134,0.0,2,0,0,139,0,0,153.5,48,0,False,True,False
22,6655,200,0,0,0,1,25,0.0,0,2,0,52,0,0,136.7,44,0,False,True,False
23,2064,1264,0,1,1,6,23,0.0,1,4,0,17,0,0,147.6,71,0,False,True,False
24,1991,200,0,0,2,2,12,0.0,1,214,0,17,0,0,109.2,1250,1,False,False,False
25,2043,1243,0,0,1,40,21,0.0,1,24,0,13,0,0,83.2,1063,0,False,False,False
26,1814,200,0,0,0,1,77,0.0,2,0,0,96,0,0,156.1,33,0,False,True,False
27,1706,200,0,0,0,1,4,0.0,0,0,0,18,0,0,45.8,428,0,True,False,False
28,4488,200,0,0,2,0,13,0.0,0,0,0,8,0,0,99.3,1507,0,False,False,False
29,7671,571,0,0,0,0,161,0.0,2,0,0,950,0,0,145.9,17,0,False,True,False
30,7636,479,0,0,0,3,72,0.0,2,2,0,63,0,0,160.5,202,0,False,True,False
31,2018,200,0,0,1,2,160,0.0,22,150,1,759,0,0,107.5,783,0,False,True,False
32,8242,200,0,0,14,5,1207,0.0,12,1,3,1864,6,0,148.6,22,0,False,True,False
33,3804,200,0,0,2,1,16,0.0,0,231,0,15,0,0,104.5,1312,0,False,False,False
34,1175,375,0,0,1,134,7,0.0,0,0,0,14,0,0,39.5,1057,0,True,False,False
35,3448,200,0,1,2,5,116,0.0,1,3,1,51,0,0,156.1,19,0,False,True,False
36,1364,375,0,0,0,111,7,0.0,0,0,0,1,0,0,53.4,578,0,True,False,False
37,2023,200,0,0,0,6,21,0.0,0,223,0,7,0,0,95.2,1247,0,False,False,False
38,3601,200,0,0,2,0,132,0.0,0,4,0,168,0,0,153.6,117,0,False,True,False
39,5885,200,0,0,0,32,23,0.0,0,0,0,23,0,0,53.6,177,0,True,False,False
40,1667,200,0,0,2,0,255,0.0,2,0,0,504,2,0,144.2,16,0,False,True,False
41,2918,200,1,0,0,2,37,0.0,0,1,0,12,0,0,110.2,1161,0,False,False,False
42,2739,200,0,0,2,0,138,0.0,1,0,0,73,0,0,139.7,13,0,False,True,False
43,1718,200,0,0,0,197,13,0.0,0,4,0,12,0,0,73.9,1262,0,False,False,True
44,1339,539,0,0,0,5,10,0.0,0,256,0,16,0,0,116.9,1464,0,False,False,False
45,1446,646,0,0,2,4,504,0.0,3,55,0,39,0,0,141.8,31,0,False,True,False
46,1586,200,0,0,1,6,17,0.0,0,193,0,15,0,0,115.2,1358,0,False,False,False
47,2056,544,0,0,0,0,14,0.0,0,29,0,10,0,0,70.4,1074,0,False,False,True
48,2435,200,0,0,1,2,193,0.0,2,4,0,19,0,0,137.0,42,0,False,True,False
