,x2,x3,x6,x7,x8,x10,x11,x12,x13,x14,x16,x17,x1_type2,x1_type3,x1_type4,target
0,1486,200,13.0,78.0,888.0,16.0,1.0,6.0,8504.0,5.0,154.0,75.0,False,True,False,0
1,1350,375,1.4080754622770808,31.0,2.0,1.2678408584136207,6.736655890993575,0.10314668512644148,19.0,1.1378654573313005,44.0,652.0,True,False,False,0
2,2415,200,1.0,2.0,4.0,-0.18762550642252052,4.843733947930822,-0.4457107551013202,17.0,1.9540160878412889,72.6,412.0,True,False,False,1
3,7389,200,1.3397485134829523,1.0,37.0,1.0,-7.17024320356429,0.3698481851980109,44.0,3.213961581194453,133.3,7.0,False,True,False,0
4,3954,200,1.468786583051818,7.451406401244107,71.0,1.3147974417539725,-1.7858704883717849,0.7039860569254601,217.0,2.8486917983856177,133.1,128.0,False,True,False,0
5,2061,550,3.0,179.0,550.0,42.0,11.0,4.0,329.0,13.853086144134165,69.7,1015.0,False,True,False,0
6,1416,616,1.5540108540084372,3.0,35.0,0.38372023112838693,-3.3534085065012675,0.4696614043197954,26.0,2.6888358129170626,148.5,24.0,False,True,False,0
7,1170,370,3.0,6.0,81.0,2.0,1.0,2.94226017332369,7735.0,4.517035575839115,142.9,16.0,False,True,False,0
8,4880,200,4.0,125.0,166.0,5.0,-2.3098330324302268,4.0,83.0,3.5925241263338945,140.7,89.0,False,True,False,0
9,6748,200,2.6277400162477207,2.0,12.0,0.23069196053138175,3.0,1.0138594158673184,5.0,3.4194231375845963,98.9,1020.0,False,False,False,0
10,1959,200,3.0,38.0,41.0,1.0,56.0,1.6262841841165179,25.0,0.8359967558510037,97.6,1171.0,False,False,False,0
11,1172,375,0.9881210816105543,3.40645920566028,31.0,0.18045459364856864,4.550835564351374,0.5105913221512463,139.0,2.803722394120334,173.8,4.0,False,True,False,0
12,3076,200,1.5111512614569378,5.0,30.0,0.3532432569752064,-7.0214711339360605,0.49261743044134365,23.0,2.7664103725126825,133.0,28.0,False,True,False,0
