unknown1,unknown2,unknown3,unknown4,unknown5,unknown6,unknown7,unknown8,unknown9,unknown10,unknown11,unknown12,unknown13,unknown14,unknown15,unknown16,unknown17,target
type3,1486,200,0,0,13,78,888,0,16,1,6,8504,5,0,154,75,0
type2,1350,375,0,0,0,31,2,0,0,0,0,19,0,0,44,652,0
type2,2415,200,0,0,1,2,4,0,0,0,0,17,0,0,72.6,412,1
type3,7389,200,0,0,0,1,37,0,1,0,0,44,0,0,133.3,7,0
type3,3954,200,0,0,0,0,71,0,0,0,0,217,0,0,133.1,128,0
type3,2061,550,0,0,3,179,550,0,42,11,4,329,0,0,69.7,1015,0
type3,1416,616,0,0,0,3,35,0,0,0,0,26,0,0,148.5,24,0
type3,1170,370,0,0,3,6,81,0,2,1,0,7735,0,0,142.9,16,0
type3,4880,200,0,0,4,125,166,0,5,0,4,83,0,0,140.7,89,0
type1,6748,200,0,0,0,2,12,0,0,3,0,5,0,0,98.9,1020,0
type1,1959,200,0,0,3,38,41,0,1,56,0,25,0,0,97.6,1171,0
type3,1172,375,0,0,0,0,31,0,0,0,0,139,0,0,173.8,4,0
type3,3076,200,0,0,0,5,30,0,0,0,0,23,0,0,133,28,0
type3,3475,200,0,0,0,15,23,0,0,0,0,23,0,0,114,1087,0
type3,4969,200,0,0,0,6,115,0,1,0,0,56,0,0,152.3,12,0
type2,1830,550,0,0,0,9,2,0,0,0,0,5,0,0,54.4,441,0
type2,5694,200,0,0,1,181,40,0,0,0,0,66,0,0,44.4,522,0
type3,3793,1485,0,0,1,8,150,0,1,0,0,64,0,0,133.8,11,0
type3,1000,200,0,0,1,4,70,0,1,0,0,56,0,0,170.2,125,1
type4,1539,200,0,0,0,367,24,0,0,4,0,8,0,0,71.6,1186,0
type1,2080,200,0,0,0,2,6,0,0,197,0,10,0,0,111.5,1003,0
type3,2896,200,0,0,2,10,134,0,2,0,0,139,0,0,153.5,48,0
type3,6655,200,0,0,0,1,25,0,0,2,0,52,0,0,136.7,44,0
type3,2064,1264,0,1,1,6,23,0,1,4,0,17,0,0,147.6,71,0
type1,1991,200,0,0,2,2,12,0,1,214,0,17,0,0,109.2,1250,1
type1,2043,1243,0,0,1,40,21,0,1,24,0,13,0,0,83.2,1063,0
type3,1814,200,0,0,0,1,77,0,2,0,0,96,0,0,156.1,33,0
type2,1706,200,0,0,0,1,4,0,0,0,0,18,0,0,45.8,428,0
type1,4488,200,0,0,2,0,13,0,0,0,0,8,0,0,99.3,1507,0
